20/07/2011 15:43:30	TASTEGGIO	0	2	6400	47543	57979	295	-3	0.12	0.12	0	
20/07/2011 15:43:42	TASTEGGIO	0	2	6400	47543	102437	295	-3	0.10	0.14	44500	
20/07/2011 15:44:07	TASTEGGIO	1	0	6400	47543	57985	229	0	0.12	0.12	0	
20/07/2011 15:44:26	TASTEGGIO	0	1	6400	47543	57977	239	0	0.14	0.14	0	
20/07/2011 15:44:47	TASTEGGIO	0	1	6400	47543	57973	287	-1	0.15	0.15	0	
20/07/2011 15:45:09	TASTEGGIO	0	1	6400	47543	57970	335	-10	0.06	0.06	0	
20/07/2011 15:45:20	TASTEGGIO	0	1	6400	47543	102429	335	-10	0.07	0.09	-44500	
20/07/2011 15:45:45	TASTEGGIO	1	0	6400	47543	146858	223	-7	0.03	0.03	0	
20/07/2011 15:45:55	TASTEGGIO	1	0	6400	47543	102580	223	-7	0.06	0.08	44500	
20/07/2011 15:48:02	TASTEGGIO	1	0	6400	47543	102490	223	-7	0.08	0.09	24500	
20/07/2011 15:48:27	TASTEGGIO	1	0	6400	47543	78021	223	-6	0.04	0.04	0	
20/07/2011 15:48:36	TASTEGGIO	1	0	6400	47543	102356	223	-6	0.04	0.06	-24500	
20/07/2011 15:50:45	TASTEGGIO	1	0	6400	47543	102583	223	-6	0.05	0.07	44500	
20/07/2011 15:52:48	TASTEGGIO	1	0	6400	47543	102579	223	-6	0.04	0.09	44500	
20/07/2011 15:53:13	TASTEGGIO	1	0	6400	47543	58130	223	-3	0.05	0.05	0	
20/07/2011 15:53:23	TASTEGGIO	1	0	6400	47543	102446	223	-3	0.02	0.07	44500	
20/07/2011 15:55:37	TASTEGGIO	1	0	6400	47542	102579	223	-3	0.17	0.21	24500	
20/07/2011 15:56:02	TASTEGGIO	1	0	6400	47542	78124	238	-6	0.16	0.16	0	
20/07/2011 15:56:23	TASTEGGIO	0	1	6400	47542	78119	250	-2	0.13	0.13	0	
20/07/2011 15:56:33	TASTEGGIO	0	1	6400	47542	102449	250	-2	0.11	0.14	24500	
