18/10/2011 08:20:33	TASTEGGIO	1	0	6000	45979	90103	112	0	0.13	0.15	44500	
18/10/2011 08:20:56	TASTEGGIO	1	0	6000	45979	45661	112	0	0.13	0.13	0	
18/10/2011 08:21:07	TASTEGGIO	1	0	6000	45979	90094	112	0	0.13	0.14	44500	
18/10/2011 08:21:28	TASTEGGIO	1	0	6000	45979	45652	111	-1	0.13	0.13	0	
18/10/2011 08:21:47	TASTEGGIO	0	1	6000	45979	45646	123	-1	0.13	0.13	0	
18/10/2011 08:22:06	TASTEGGIO	0	2	6000	45979	45642	149	0	0.13	0.13	0	
18/10/2011 08:22:25	TASTEGGIO	0	3	6000	45979	45637	188	-4	0.11	0.11	0	
18/10/2011 08:22:46	TASTEGGIO	0	4	6000	45979	45632	225	-9	0.07	0.07	0	
18/10/2011 08:22:57	TASTEGGIO	0	4	6000	45979	90095	225	-9	0.09	0.10	-44500	
18/10/2011 08:23:20	TASTEGGIO	1	0	6000	45979	134557	108	-3	0.06	0.06	0	
18/10/2011 08:23:31	TASTEGGIO	1	0	6000	45979	90310	108	-3	0.06	0.08	44500	
18/10/2011 08:25:20	TASTEGGIO	1	0	6000	45979	90108	108	-3	0.09	0.10	24500	
18/10/2011 08:25:41	TASTEGGIO	1	0	6000	45979	65655	108	-3	0.06	0.06	0	
18/10/2011 08:25:51	TASTEGGIO	1	0	6000	45979	89921	108	-3	0.07	0.08	-24500	
18/10/2011 08:27:41	TASTEGGIO	1	0	6000	45979	90209	108	-3	0.15	0.15	24500	
18/10/2011 08:28:03	TASTEGGIO	1	0	6000	45979	65745	112	-4	0.12	0.12	0	
18/10/2011 08:28:12	TASTEGGIO	1	0	6000	45979	90027	112	-4	0.13	0.13	24500	
18/10/2011 08:28:34	TASTEGGIO	1	0	6000	45979	65582	110	-1	0.11	0.11	0	
18/10/2011 08:28:53	TASTEGGIO	0	1	6000	45979	65572	119	-1	0.10	0.10	0	
18/10/2011 08:29:11	TASTEGGIO	0	2	6000	45979	65564	137	-1	0.10	0.10	0	
18/10/2011 08:29:30	TASTEGGIO	0	3	6000	45979	65558	167	-3	0.08	0.08	0	
18/10/2011 08:29:40	TASTEGGIO	0	3	6000	45979	90022	167	-3	0.09	0.09	0	
18/10/2011 08:30:00	TASTEGGIO	1	0	6000	45979	90019	107	-1	0.08	0.08	0	
18/10/2011 08:30:08	TASTEGGIO	1	0	6000	45979	90025	107	-1	0.07	0.08	24500	
18/10/2011 08:31:59	TASTEGGIO	1	0	6000	45979	90208	107	-1	0.11	0.11	0	
18/10/2011 08:32:19	TASTEGGIO	1	0	6000	45979	90218	109	-4	0.08	0.08	0	
18/10/2011 08:32:26	TASTEGGIO	1	0	6000	45979	90208	109	-4	0.09	0.09	24500	
18/10/2011 08:32:48	TASTEGGIO	1	0	6000	45979	65748	107	-2	0.05	0.05	0	
18/10/2011 08:32:58	TASTEGGIO	1	0	6000	45979	90031	107	-2	0.07	0.07	0	
18/10/2011 08:34:48	TASTEGGIO	1	0	6000	45979	90110	107	-2	0.48	0.48	0	
18/10/2011 08:35:09	TASTEGGIO	1	0	6000	45979	90124	140	-2	0.44	0.44	0	
18/10/2011 08:35:29	TASTEGGIO	0	1	6000	45979	90127	180	-3	0.41	0.41	0	
18/10/2011 08:35:50	TASTEGGIO	0	2	6000	45979	90127	256	-33	0.10	0.10	0	
18/10/2011 08:35:57	TASTEGGIO	0	2	6000	45979	90106	256	-33	0.10	0.15	24500	
